country_code,country,year,exports_percent_gdp,fdi_percent_gdp,gdp_growth,gdp_per_capita,inflation,population,tourist_arrivals,unemployment
NI,Nicaragua,2024,40.4630624895997,6.86656428120852,3.5878302292345,2847.53966339498,4.62473841057141,6916140.0,,4.98
PA,Panamá,2000,68.9601164522227,6.91764679868008,4.2090057360153,3975.09310275544,1.49896111605777,3010369.0,600000.0,6.188
PA,Panamá,2001,68.7000852365123,4.95229444450419,0.949907875683692,3991.77672094655,0.307062436028722,3069537.0,737000.0,6.293
PA,Panamá,2002,62.829057458876,1.93034037172558,2.50884408826073,4090.58616456082,1.00583090379039,3129344.0,800000.0,6.302
PA,Panamá,2003,58.1335706021341,7.72303743803259,5.09686013628365,4264.66428949623,0.391666666666657,3189807.0,897000.0,6.303
PA,Panamá,2004,60.5768245688004,8.46279993310649,8.1756535098435,4644.56581177581,0.474723078204336,3251155.0,1004000.0,6.097
PA,Panamá,2005,68.2355957470283,6.6434443919751,8.27618322400723,5017.74110414832,2.85588324760959,3313026.0,1070000.0,5.967
PA,Panamá,2006,69.1942341743752,15.7789064426648,9.8572387394466,5528.76705854901,2.45789346442096,3375024.0,1215000.0,5.792
PA,Panamá,2007,71.9791727604966,10.2406205983382,13.1530653136012,6317.8173051466,4.16863300298887,3437490.0,1428000.0,5.665
PA,Panamá,2008,78.2985922617111,9.29189971900206,10.197432548532,7347.59049046839,8.75868317728784,3500648.0,1575000.0,5.639
PA,Panamá,2009,69.9648087248022,3.9059104779012,1.61186417596689,7796.92618363433,2.409053040822,3564381.0,1562000.0,5.857
PA,Panamá,2010,70.025242051299,8.43207037866722,6.07339340909564,8331.46422259967,3.491288726188,3628535.0,1726000.0,5.845
PA,Panamá,2011,77.7456722088295,12.3168354603605,11.9088772241134,9662.29590911979,5.8758024367877,3693505.0,2004000.0,4.03
PA,Panamá,2012,74.5443156942107,8.13045858557062,9.62729355007232,11064.8063662003,5.69819959165992,3759256.0,2086000.0,3.691
PA,Panamá,2013,64.5610772701238,8.09167357453305,6.32435373509259,12273.3224983788,4.0271599157106,3825329.0,2202000.0,3.674
PA,Panamá,2014,54.8890820604972,9.6921652724572,4.62581384604574,13213.1989591137,2.62652699929151,3892101.0,2305000.0,4.391
PA,Panamá,2015,47.3866199170958,9.17966898909828,5.26691726402875,14082.6548434996,0.137492058461504,3960035.0,2553000.0,4.335
PA,Panamá,2016,41.7407554629987,8.78226076869208,4.57196696307969,14832.3611652459,0.739734025300033,4029086.0,2379000.0,4.717
PA,Panamá,2017,41.4710106747803,6.34573158684694,5.74405946988693,15694.6297518495,0.875585918759878,4098707.0,2517000.0,5.338
PA,Panamá,2018,42.3471044405144,6.3940456399755,3.9181980847881,16151.3273433486,0.761578359399944,4167860.0,2487000.0,5.161
PA,Panamá,2019,40.2141744857332,6.7135041995988,3.10306793272473,16477.9066268111,-0.355083821021245,4234700.0,2494000.0,6.256
PA,Panamá,2020,36.2690881640488,-2.85980025111741,-17.8212299459324,13290.5608397749,-1.5502754080376,4293261.0,647000.0,14.663
PA,Panamá,2021,41.6067040108244,2.71982266254139,16.4671248604202,15509.8069124139,1.63070337301898,4345405.0,,10.177
PA,Panamá,2022,48.0265978333415,3.2250848191713,11.0385475261766,17378.6070017557,2.85965128834711,4400773.0,,8.086
PA,Panamá,2023,45.6292440103821,2.84826789984183,7.16632946099945,18797.1933994045,1.48641355277038,4458759.0,,6.544
PA,Panamá,2024,44.3578422197701,3.74510335231647,2.74788545546916,19161.2188501596,0.693225551004538,4515577.0,,8.451
DO,República Dominicana,2000,35.4978251417642,4.0689908919589,4.65172550299128,2831.45883638033,7.72413566181615,8584190.0,3161000.0,6.432
